LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
   8.526     538     6329.5      834.6
   8.544     539     6354.2      834.4
   8.562     540     6402.8      819.3
   8.579     541     6353.7      757.6
   8.597     542     6430.0      689.3
   8.614     543     6377.4      619.1
   8.634     544     6465.6      736.8
   8.650     545     6707.8     1001.0
   8.670     546     6449.6      652.3
   8.687     547     6481.6      710.3
   8.704     548     6456.8      826.2
   8.720     549     6469.9      502.4
   8.738     550     6372.6      845.6
   8.754     551     6513.1      632.9
   8.771     552     6510.1      614.1
   8.788     553     6553.8      683.6
   8.803     554     6458.6      578.8
   8.821     555     6425.3      621.9
   8.837     556     6430.4      628.7
   8.855     557     6446.8      750.0
   8.873     558     6410.7      709.3
   8.891     559     6369.5      646.8
   8.909     560     6454.1      752.7
   8.926     561     6471.3      782.7
   8.944     562     6377.9      815.5
   8.962     563     6374.9      800.6
   8.980     564     6383.5      830.6
   8.997     565     6616.3     1141.3
   9.014     566     6562.4      441.6
   9.032     567     6309.2      879.0
   9.049     568     6230.5      815.2
   9.067     569     6338.2      932.2
   9.086     570     6322.2      937.6
   9.104     571     6319.9      875.1
   9.123     572     6297.2      866.5
   9.141     573     6314.1      911.3
   9.158     574     6398.4      781.9
   9.174     575     6383.3      724.0
   9.190     576     6361.1      813.0
   9.210     577     6373.3      862.7
   9.227     578     6421.3      786.0
   9.246     579     6373.6      714.9
   9.262     580     6403.1      820.2
   9.279     581     6344.5      782.1
   9.299     582     6371.6      796.1
   9.317     583     6387.0      827.7
   9.335     584     6332.2      739.6
   9.354     585     6350.5      756.7
   9.373     586     6410.7      659.6
   9.394     587     6403.6      669.0
   9.412     588     6384.1      670.3
   9.430     589     6444.6      580.6
   9.450     590     6463.6      613.5
   9.468     591     6465.9      620.1
   9.484     592     6381.1      678.7
   9.501     593     6420.1      642.5
   9.519     594     6483.0      730.2
   9.535     595     6495.5      780.3
   9.553     596     6451.8      733.4
   9.571     597     6462.2      766.5
   9.589     598     6481.9      732.4
   9.607     599     6436.8      683.5
   9.625     600     6413.7      652.6
   9.640     601     6457.0      713.9
   9.659     602     6449.3      726.0
   9.678     603     6449.3      726.0
   9.696     604     6434.8      717.9
   9.712     605     6485.8      797.2
   9.730     606     6470.0      784.9
   9.747     607     6468.1      837.3
   9.765     608     6406.9      748.2
   9.783     609     6412.9      797.1
   9.800     610     6404.2      755.5
   9.818     611     6416.9      779.9
   9.835     612     6381.6      729.2
   9.852     613     6438.0      766.2
   9.870     614     6443.7      777.4
   9.891     615     6441.1      788.9
   9.907     616     6458.8      811.9
   9.924     617     6421.9      855.7
   9.941     618     7003.0     1318.4
   9.958     619     6422.9      675.9
   9.978     620     6427.7      685.9
   9.996     621     6406.0      645.9
  10.015     622     6409.5      658.1
  10.035     623     6425.5      653.7
  10.055     624     6409.5      658.1
  10.072     625     6344.7      694.7
  10.090     626     6340.7      708.1
  10.110     627     6387.7      645.4
  10.130     628     6378.9      641.0
  10.146     629     6455.2      689.9
  10.167     630     6438.7      711.8
  10.183     631     6456.2      712.9
  10.203     632     6416.4      659.8
  10.221     633     6408.0      633.9
  10.239     634     6408.7      776.1
  10.257     635     6384.3      747.6
  10.273     636     6344.9      786.1
  10.292     637     6356.8      801.9
  10.310     638     6405.2      778.9
  10.327     639     6398.1      788.4
  10.346     640     6403.7      758.6
  10.364     641     6481.4      605.5
  10.381     642     6384.6      683.4
  10.398     643     6391.7      772.1
  10.416     644     6358.9      764.5
  10.434     645     6375.5      793.8
  10.450     646     6355.4      728.9
  10.467     647     6451.6      853.0
  10.483     648     6316.5      813.2
  10.501     649     6298.6      789.3
  10.518     650     6520.1      595.4
  10.534     651     6561.1      680.0
  10.552     652     6456.0      711.2
  10.570     653     6436.9      663.3
  10.586     654     6578.3      622.5
  10.603     655     6428.0      647.4
  10.621     656     6463.5      694.9
  10.639     657     6460.6      687.3
  10.657     658     6448.9      690.4
  10.675     659     6465.8      694.3
  10.692     660     6487.5      726.9
  10.711     661     6489.7      729.8
  10.728     662     6473.3      726.6
  10.745     663     6493.3      619.6
  10.763     664     6510.0      652.9
  10.779     665     6502.5      739.4
  10.798     666     6471.6      702.3
  10.814     667     6521.0      560.7
  10.833     668     6532.8      536.9
