KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=126.1  y=4294.5
   7.789     515     1344.2     4294.7
   7.806     516     1347.7     4295.2
   7.823     517     1350.7     4295.7
   7.840     518     1353.5     4295.4
   7.856     519     1356.3     4294.8
   7.873     520     1358.5     4294.1
   7.890     521     1361.5     4294.1
   7.906     522     1364.4     4294.7
   7.923     523     1366.9     4294.4
   7.940     524     1369.5     4294.0
   7.957     525     1371.7     4293.4
   7.974     526     1373.7     4291.5
   7.991     527     1375.2     4289.7
   8.008     528     1377.4     4287.3
   8.025     529     1378.7     4285.3
   8.042     530     1379.7     4282.6
   8.058     531     1380.5     4279.8
   8.075     532     1382.2     4277.1
   8.092     533     1382.7     4274.1
   8.109     534     1384.1     4270.4
   8.128     535     1386.4     4267.9
   8.144     536     1387.9     4264.2
   8.161     537     1389.4     4260.4
   8.177     538     1390.6     4257.5
   8.195     539     1392.5     4254.9
   8.212     540     1394.2     4252.2
   8.229     541     1395.6     4249.4
   8.245     542     1398.0     4247.0
   8.262     543     1399.3     4245.0
   8.279     544     1401.2     4243.0
   8.296     545     1403.4     4241.4
   8.313     546     1404.9     4239.4
   8.329     547     1407.0     4237.1
   8.346     548     1409.0     4236.0
   8.363     549     1410.1     4235.4
   8.380     550     1412.8     4233.8
   8.397     551     1414.5     4233.4
   8.414     552     1416.7     4232.3
   8.431     553     1418.0     4230.7
   8.448     554     1421.0     4229.8
   8.464     555     1423.0     4228.7
   8.481     556     1425.0     4228.2
   8.498     557     1427.5     4227.6
   8.515     558     1429.5     4227.7
   8.534     559     1431.6     4227.8
   8.550     560     1434.1     4227.1
   8.567     561     1436.2     4227.4
   8.584     562     1438.9     4228.4
   8.600     563     1441.7     4227.3
   8.617     564     1444.3     4227.2
   8.634     565     1446.4     4226.8
   8.651     566     1449.8     4226.0
   8.668     567     1452.6     4224.7
   8.685     568     1455.7     4223.2
   8.702     569     1458.6     4221.8
   8.719     570     1461.6     4220.4
   8.735     571     1464.6     4219.3
   8.752     572     1467.3     4218.8
   8.769     573     1471.0     4217.4
   8.788     574     1473.7     4215.8
   8.804     575     1474.9     4213.5
   8.821     576     1477.2     4211.8
   8.838     577     1479.3     4209.6
   8.854     578     1480.6     4207.0
   8.871     579     1481.5     4205.0
